url,tipo,etiqueta_html,alcance
https://be-tarask.wikipedia.org/wiki/%D0%92%D1%96%D0%BA%D1%96%D0%BF%D1%8D%D0%B4%D1%8B%D1%8F,enlace,<a href>,externa
https://be.wikipedia.org/wiki/%D0%92%D1%96%D0%BA%D1%96%D0%BF%D0%B5%D0%B4%D1%8B%D1%8F,enlace,<a href>,externa
https://bew.wikipedia.org/wiki/Wikip%C3%A9di,enlace,<a href>,externa
https://bg.wikipedia.org/wiki/%D0%A3%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D1%8F,enlace,<a href>,externa
https://bh.wikipedia.org/wiki/%E0%A4%B5%E0%A4%BF%E0%A4%95%E0%A4%BF%E0%A4%AA%E0%A5%80%E0%A4%A1%E0%A4%BF%E0%A4%AF%E0%A4%BE,enlace,<a href>,externa
https://bi.wikipedia.org/wiki/Wikipedia,enlace,<a href>,externa
https://bjn.wikipedia.org/wiki/Wikipidia,enlace,<a href>,externa
https://blk.wikipedia.org/wiki/%E1%80%9D%E1%80%AE%E1%80%81%E1%80%AE%E1%80%95%E1%80%AE%E1%80%B8%E1%80%92%E1%80%AE%E1%80%B8%E1%80%9A%E1%80%AC%E1%80%B8,enlace,<a href>,externa
https://blog.wikimedia.org/2010/wikipedia-in-3d/,enlace,<a href>,externa
https://blog.wikimedia.org/2011/10/26/wikipedia-seeks-global-operator-partners-to-enable-free-access/,enlace,<a href>,externa
https://blog.wikimedia.org/2013/01/19/wikimedia-sites-move-to-primary-data-center-in-ashburn-virginia/,enlace,<a href>,externa
https://blog.wikimedia.org/2013/06/17/swedish-wikipedia-1-million-articles/,enlace,<a href>,externa
https://blog.wikimedia.org/2014/09/12/emmanuel-engelhart-inventor-of-kiwix/,enlace,<a href>,externa
https://bm.wikipedia.org/wiki/Wikipedi,enlace,<a href>,externa
https://bn.wikipedia.org/wiki/%E0%A6%89%E0%A6%87%E0%A6%95%E0%A6%BF%E0%A6%AA%E0%A6%BF%E0%A6%A1%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE,enlace,<a href>,externa
https://bo.wikipedia.org/wiki/%E0%BD%A3%E0%BE%A6%E0%BD%BA%E0%BC%8B%E0%BD%81%E0%BD%BA%E0%BC%8B%E0%BD%A2%E0%BD%B2%E0%BD%82%E0%BC%8B%E0%BD%98%E0%BD%9B%E0%BD%BC%E0%BD%91,enlace,<a href>,externa
https://books.google.com.uy/books?id=QE1FUpYyi5QC&pg=PA141&lpg=PA141&dq=historia+de+wikipedia&source=bl&ots=IrAh8Y1UID&sig=AIfZsw9lwiztRsiD0n2vRq1WqtA&hl=es-419&sa=X&ved=0ahUKEwj9_v6Wr-zZAhVDipAKHVJ_COgQ6AEIlAMwMw#v=onepage&q=historia%20de%20wikipedia&f=false,enlace,<a href>,externa
"https://books.google.es/books?hl=en&lr=&id=lHdi1CEPLb4C&oi=fnd&pg=PR17&dq=Ayers,+P.,+Matthews,+C.,+and+Yates,+B.+How+Wikipedia+Works+(And+How+You+Can+Be+a+Part+of+It).+No+Starch+Press,+2008.&ots=Filr5mNHEu&sig=iSGbj_QMLz7BkaOxPwl86tFi_Q8&redir_esc=y#v=onepage&q&f=false",enlace,<a href>,externa
https://bpy.wikipedia.org/wiki/%E0%A6%89%E0%A6%87%E0%A6%95%E0%A6%BF%E0%A6%AA%E0%A6%BF%E0%A6%A1%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE,enlace,<a href>,externa
